seq,t0,t1,cv,cv_err,gen,number
c,10,10,86.96880232,2.242718353,0,1
c,10,4,96.21559868,1.565811653,0,2
a,10,6,100.0039098,9.768051478,0,3
d,4,14,80.35946439,4.393723836,0,4
e,2,6,83.32373413,3.789933668,0,5
e,8,14,95.46712364,5.251962255,0,6
d,14,4,82.88594022,11.39519069,0,7
c,6,6,86.48647511,9.9711733,0,8
b,4,14,68.23062709,5.423910431,1,1
f,4,16,64.97864418,8.286451077,1,2
b,20,2,78.19170955,5.441868732,1,3
c,2,20,75.94260254,10.09099448,1,4
f,12,8,72.88418168,3.508204717,1,5
b,18,2,68.34844748,7.905650331,1,6
b,2,18,72.61592991,8.899899452,1,7
e,16,6,82.01631356,9.333624611,1,8
a,2,12,66.73507963,7.683441412,2,1
a,4,12,74.55190119,7.135953072,2,2
b,16,2,67.69727945,10.10798021,2,3
b,18,4,77.44218254,10.37736967,2,4
b,4,2,77.45217623,4.664282413,2,5
b,2,12,77.62224435,5.312006798,2,6
b,4,16,64.7072365,8.093386489,2,7
f,6,16,72.45638147,4.170786426,2,8
b,4,15,78.82298486,7.601267263,3,1
c,1,22,78.27151971,7.601267263,3,2
e,5,3,69.86606084,5.330856766,3,3
f,3,9,69.26734129,5.062381662,3,4
b,7,7,68.88652897,7.303031721,3,5
b,17,2,70.15546505,2.794316387,3,6
b,15,2,64.85854453,4.123982352,3,7
f,18,2,75.85081835,3.467380901,3,8
