conc0,conc1,ci,ci_err,conc0_inv,conc1_inv,cv_exp,cv_err,cv_theor,gen,number
0.499908715,0.022364315,0.083750498,0.096697278,99.95797054,0.012592958,0.756403685,0.096697278,0.714712357,0,1
0.382462859,0.883711755,0.044730629,0.200867036,58.2003663,90.46585276,0.674945866,0.200867036,0.692853239,0,2
0.336051464,0.518449605,-0.110406464,0.077321519,47.00054869,2.09489252,0.712872446,0.077321519,0.868039617,0,3
0.145639583,0.133043706,-0.11222505,0.079762288,19.55596116,0.039414208,0.801123859,0.079762288,0.953019027,0,4
0.028748807,0.911453187,0.328337424,0.137985759,11.41557033,120.416621,0.969406218,0.137985759,0.670070076,0,5
0.317219943,0.899239898,0.249929128,0.247050686,43.0962901,106.1710373,0.866982534,0.247050686,0.666146562,0,6
0.300846666,0.86494714,0.08094065,0.130082172,39.96624368,74.5543906,0.810637592,0.130082172,0.802731478,0,7
0.567442179,0.233536437,-0.015323292,0.171793603,136.421983,0.111063395,0.581546154,0.171793603,0.637469607,0,8
0.87592268,0.806171119,0.093822893,0.108828065,564.7358525,40.67483987,0.414952623,0.108828065,0.388766624,0,9
0.110147417,0.889164627,0.115834192,0.155977902,16.60713951,95.69689581,0.834750307,0.155977902,0.775939029,0,10
0.640799105,0.183457762,0.014253549,0.107218525,191.2485759,0.06627697,0.529836108,0.107218525,0.556995246,1,1
0.603122556,0.20849113,-0.036832873,0.097202834,160.7848453,0.085790672,0.519848377,0.097202834,0.597271019,1,2
0.591333664,0.319919224,-0.018612478,0.120914515,152.2885768,0.270593374,0.551260584,0.120914515,0.610387755,1,3
0.611976966,0.277364329,0.007342031,0.154439318,167.4765215,0.174499317,0.554201075,0.154439318,0.58756069,1,4
0.974516611,0.680127595,0.107954998,0.144061572,889.2691412,11.09209835,0.404024028,0.144061572,0.366746957,1,5
0.774535418,0.396557301,0.056974691,0.092896039,354.0550849,0.596259238,0.450729513,0.092896039,0.444759471,1,6
0.402610137,0.997980884,0.537451276,0.105149855,63.85872953,293.8200495,0.823137736,0.105149855,0.313510844,1,7
0.999894407,0.604067192,0.183700103,0.053047615,999.5138445,5.063864364,0.473479907,0.053047615,0.362052212,1,8
0.72095219,0.646436302,0.265081512,0.195911189,276.6332506,7.837430587,0.701922084,0.195911189,0.483212216,1,9
0.448350247,0.356906742,0.114725766,0.006468282,78.83162772,0.396200264,0.841561915,0.006468282,0.770381821,1,10
0.358601041,0.47809098,-0.056581389,0.042899388,52.14372852,1.381883045,0.750076208,0.042899388,0.851490461,2,1
0.346705278,0.554565301,-0.00970833,0.07336391,49.36402414,3.039877593,0.805860084,0.07336391,0.860416448,2,2
0.37049761,0.497881733,0.003373453,0.087786762,55.08016341,1.694637799,0.800681011,0.087786762,0.842120616,2,3
0.253902137,0.502819121,-0.025880691,0.056449021,32.19617461,1.78312658,0.846414481,0.056449021,0.915525074,2,4
0.342910353,0.448412654,-0.006786461,0.095973977,48.50881952,1.017648564,0.811598347,0.095973977,0.863173493,2,5
0.204233582,0.422813865,-0.043865868,0.037613311,25.613396,0.781607903,0.85013741,0.037613311,0.935688582,2,6
